date,nav
2018-11-29,10.01
2018-11-30,10.01
2018-12-03,10.02
2018-12-04,10.03
2018-12-05,10.0
2018-12-06,9.98
2018-12-07,9.97
2018-12-10,9.95
2018-12-11,9.99
2018-12-12,10.19
2018-12-13,10.23
2018-12-14,10.29
2018-12-17,10.32
2018-12-18,10.36
2018-12-19,10.43
2018-12-20,10.42
2018-12-21,10.35
2018-12-24,10.26
2018-12-26,10.28
2018-12-27,10.28
2018-12-28,10.37
2018-12-31,10.39
2019-01-01,10.39
2019-01-02,10.27
2019-01-03,10.18
2019-01-04,10.2
2019-01-07,10.26
2019-01-08,10.27
2019-01-09,10.3
2019-01-10,10.3
2019-01-11,10.29
2019-01-14,10.3
2019-01-15,10.34
2019-01-16,10.34
2019-01-17,10.34
2019-01-18,10.29
2019-01-21,10.28
2019-01-22,10.25
2019-01-23,10.17
2019-01-24,10.15
2019-01-25,10.08
2019-01-28,9.97
2019-01-29,9.97
2019-01-30,9.97
2019-01-31,10.01
2019-02-01,10.07
2019-02-04,10.01
2019-02-05,10.02
2019-02-06,10.11
2019-02-07,10.18
2019-02-08,10.05
2019-02-11,10.0
2019-02-12,9.97
2019-02-13,9.91
2019-02-14,9.9
2019-02-15,9.86
2019-02-18,9.82
2019-02-19,9.86
2019-02-20,9.93
2019-02-21,9.94
2019-02-22,10.05
2019-02-25,10.16
2019-02-26,10.17
2019-02-27,10.16
2019-02-28,10.21
2019-03-01,10.28
2019-03-05,10.41
2019-03-06,10.46
2019-03-07,10.43
2019-03-08,10.44
2019-03-11,10.61
2019-03-12,10.68
2019-03-13,10.59
2019-03-14,10.62
2019-03-15,10.67
2019-03-18,10.66
2019-03-19,10.69
2019-03-20,10.58
2019-03-22,10.51
2019-03-25,10.5
2019-03-26,10.55
2019-03-27,10.54
2019-03-28,10.59
2019-03-29,10.66
2019-04-01,10.67
2019-04-02,10.69
2019-04-03,10.61
2019-04-04,10.61
2019-04-05,10.65
2019-04-08,10.62
2019-04-09,10.65
2019-04-10,10.65
2019-04-11,10.71
2019-04-12,10.74
2019-04-15,10.78
2019-04-16,10.83
2019-04-18,10.77
2019-04-22,10.68
2019-04-23,10.63
2019-04-24,10.68
2019-04-25,10.66
2019-04-26,10.65
2019-04-30,10.61
2019-05-02,10.57
2019-05-03,10.63
2019-05-06,10.53
2019-05-07,10.46
2019-05-08,10.44
2019-05-09,10.4
2019-05-10,10.4
2019-05-13,10.3
2019-05-14,10.37
2019-05-15,10.3
2019-05-16,10.34
2019-05-17,10.36
2019-05-20,10.51
2019-05-21,10.44
2019-05-22,10.48
2019-05-23,10.43
2019-05-24,10.53
2019-05-27,10.56
2019-05-28,10.61
2019-05-29,10.57
2019-05-30,10.59
2019-05-31,10.62
2019-06-03,10.66
2019-06-04,10.65
2019-06-06,10.61
2019-06-07,10.62
2019-06-10,10.63
2019-06-11,10.66
2019-06-12,10.66
2019-06-13,10.67
2019-06-14,10.59
2019-06-17,10.54
2019-06-18,10.52
2019-06-19,10.55
2019-06-20,10.62
2019-06-21,10.56
2019-06-24,10.56
2019-06-25,10.61
2019-06-26,10.56
2019-06-27,10.61
2019-06-28,10.6
2019-07-01,10.64
2019-07-02,10.65
2019-07-03,10.67
2019-07-04,10.67
2019-07-05,10.58
2019-07-08,10.44
2019-07-09,10.45
2019-07-10,10.43
2019-07-11,10.5
2019-07-12,10.5
2019-07-15,10.46
2019-07-16,10.49
2019-07-17,10.47
2019-07-18,10.4
2019-07-19,10.31
2019-07-22,10.27
2019-07-23,10.31
2019-07-24,10.22
2019-07-25,10.23
2019-07-26,10.28
2019-07-29,10.2
2019-07-30,10.16
2019-07-31,10.17
2019-08-01,10.16
2019-08-02,10.23
2019-08-05,10.18
2019-08-06,10.26
2019-08-07,10.2
2019-08-08,10.3
2019-08-09,10.39
2019-08-13,10.18
2019-08-14,10.22
2019-08-16,10.28
2019-08-19,10.29
2019-08-20,10.29
2019-08-21,10.2
2019-08-22,10.12
2019-08-23,10.18
2019-08-26,10.28
2019-08-27,10.33
2019-08-28,10.26
2019-08-29,10.22
2019-08-30,10.28
2019-09-03,10.14
2019-09-04,10.17
2019-09-05,10.24
2019-09-06,10.32
2019-09-09,10.37
2019-09-11,10.42
2019-09-12,10.36
2019-09-13,10.41
2019-09-16,10.41
2019-09-17,10.3
2019-09-18,10.31
2019-09-19,10.24
2019-09-20,10.66
2019-09-23,10.88
2019-09-24,10.84
2019-09-25,10.69
2019-09-26,10.75
2019-09-27,10.76
2019-09-30,10.78
2019-10-01,10.67
2019-10-03,10.66
2019-10-04,10.59
2019-10-07,10.54
2019-10-09,10.63
2019-10-10,10.62
2019-10-11,10.66
2019-10-14,10.68
2019-10-15,10.69
2019-10-16,10.73
2019-10-17,10.87
2019-10-18,10.98
2019-10-22,10.99
2019-10-23,11.0
2019-10-24,11.0
2019-10-25,10.99
2019-10-29,11.14
2019-10-30,11.19
2019-10-31,11.27
2019-11-01,11.26
2019-11-04,11.28
2019-11-05,11.28
2019-11-06,11.25
2019-11-07,11.29
2019-11-08,11.23
2019-11-11,11.22
2019-11-13,11.17
2019-11-14,11.21
2019-11-15,11.23
2019-11-18,11.23
2019-11-19,11.31
2019-11-20,11.31
2019-11-21,11.23
2019-11-22,11.25
2019-11-25,11.39
2019-11-26,11.33
2019-11-27,11.34
2019-11-28,11.38
2019-11-29,11.4
2019-12-02,11.38
2019-12-03,11.34
2019-12-04,11.34
2019-12-05,11.31
2019-12-06,11.22
2019-12-09,11.2
2019-12-10,11.14
2019-12-11,11.16
2019-12-12,11.17
2019-12-13,11.18
2019-12-16,11.14
2019-12-17,11.24
2019-12-18,11.28
2019-12-19,11.29
2019-12-20,11.3
2019-12-23,11.29
2019-12-24,11.32
2019-12-26,11.3
2019-12-27,11.36
2019-12-30,11.4
2019-12-31,11.41
2020-01-01,11.42
2020-01-02,11.42
2020-01-03,11.42
2020-01-06,11.32
2020-01-07,11.34
2020-01-08,11.33
2020-01-09,11.5
2020-01-10,11.52
2020-01-13,11.58
2020-01-14,11.61
2020-01-15,11.68
2020-01-16,11.73
2020-01-17,11.81
2020-01-20,11.8
2020-01-21,11.73
2020-01-22,11.7
2020-01-23,11.75
2020-01-24,11.8
2020-01-27,11.82
2020-01-28,11.73
2020-01-29,11.8
2020-01-30,11.79
2020-01-31,11.81
2020-02-03,11.57
2020-02-04,11.72
2020-02-05,11.8
2020-02-06,11.83
2020-02-07,11.81
2020-02-10,11.7
2020-02-11,11.73
2020-02-12,11.77
2020-02-13,11.74
2020-02-14,11.74
2020-02-17,11.69
2020-02-18,11.65
2020-02-19,11.75
2020-02-20,11.77
2020-02-24,11.55
2020-02-25,11.52
2020-02-26,11.43
2020-02-27,11.44
2020-02-28,11.22
2020-03-02,11.07
2020-03-03,11.2
2020-03-04,11.11
2020-03-05,11.13
2020-03-06,11.02
2020-03-09,10.65
2020-03-11,10.6
2020-03-12,9.9
2020-03-13,10.01
2020-03-16,9.5
2020-03-17,9.4
2020-03-18,9.03
2020-03-19,8.85
2020-03-20,9.14
2020-03-23,8.23
2020-03-24,8.18
2020-03-25,8.39
2020-03-26,8.7
2020-03-27,8.72
2020-03-30,8.5
2020-03-31,8.73
2020-04-01,8.57
2020-04-03,8.57
2020-04-07,8.98
2020-04-08,9.01
2020-04-09,9.5
2020-04-13,9.42
2020-04-15,9.52
2020-04-16,9.58
2020-04-17,9.84
2020-04-20,9.83
2020-04-21,9.57
2020-04-22,9.69
2020-04-23,9.74
2020-04-24,9.64
2020-04-27,9.69
2020-04-28,9.63
2020-04-29,9.71
2020-04-30,9.86
2020-05-04,9.53
2020-05-05,9.44
2020-05-06,9.49
2020-05-07,9.42
2020-05-08,9.33
2020-05-11,9.4
2020-05-12,9.48
2020-05-13,9.61
2020-05-14,9.56
2020-05-15,9.56
2020-05-18,9.31
2020-05-19,9.47
2020-05-20,9.6
2020-05-21,9.72
2020-05-22,9.71
2020-05-26,9.7
2020-05-27,9.75
2020-05-28,9.89
2020-05-29,10.05
2020-06-01,10.26
2020-06-02,10.31
2020-06-03,10.36
2020-06-04,10.4
2020-06-05,10.5
2020-06-08,10.52
2020-06-09,10.51
2020-06-10,10.47
2020-06-11,10.34
2020-06-12,10.38
2020-06-15,10.27
2020-06-16,10.36
2020-06-17,10.49
2020-06-18,10.57
2020-06-19,10.63
2020-06-22,10.76
2020-06-23,10.91
2020-06-24,10.75
2020-06-25,10.8
2020-06-26,10.81
2020-06-29,10.75
2020-06-30,10.77
2020-07-01,10.77
2020-07-02,10.86
2020-07-03,10.92
2020-07-06,11.03
2020-07-07,10.99
2020-07-08,10.96
2020-07-09,10.99
2020-07-10,10.97
2020-07-13,11.03
2020-07-14,10.9
2020-07-15,10.91
